latitude,longitude,Dataset,title,thumbnail_url,artist_name,year
34.20109,-118.591,LA Controller,Wooden sculptures,,Mary Lynn Dominguez,Unknown
34.17311,-118.592,LA Controller,Interior photographic ceramic tile mural,,Anne Marie Karlsen,Unknown
34.25708,-118.593,LA Controller,"Exterior concrete sculptures, tiles and window",,Craig Stone,Unknown
34.04476,-118.213,LA Controller,Sculpture and neon tubing,,Nijel Binns,Unknown
34.22104,-118.599,LA Controller,Sixty-seven bonze plaques,,Gregg LeFevre,Unknown
33.77019,-118.279,LA Controller,Exterior sculpture,,Dennis Oppenheim,Unknown
33.97475,-118.318,LA Controller,Exterior ceramic mural and ceramic panels,,Robin Strayhorn,Unknown
34.02569,-118.319,LA Controller,Three large scale photo pieces,,Todd Gray,Unknown
34.16841,-118.611,LA Controller,Mixed media installation,,Marleene Rubenstein,Unknown
33.93128,-118.232,LA Controller,Bas relief sand cast tiles,,Paul Tzanetopolous,Unknown
34.21953,-118.628,LA Controller,Interior sculptural installation,,Deborah Aschheim,Unknown
33.96995,-118.277,LA Controller,Painted steel figures,,Joe Sam,Unknown
34.18676,-118.642,LA Controller,Metal work at interior ceiling,,Gale McCall,Unknown
33.80711,-118.308,LA Controller,Ceramic letters,,Beverly Crist,Unknown
34.10049,-118.259,LA Controller,Text works on wall and fence,,Christina Ulke,Unknown
34.04742,-118.289,LA Controller,Bas relief sculpture on façade,,Robert Cunningham,Unknown
34.07625,-118.214,LA Controller,Ceramic tile mural,,Ricardo Duffy,Unknown
33.99517,-118.323,LA Controller,Mural over fireplace,,Alma Lopez,Unknown
34.07287,-118.276,LA Controller,Exterior metal panels,,Ken Gonzales-Day,Unknown
34.05059,-118.198,LA Controller,Polychrome wood mural,,Mary Lynn Dominguez,Unknown
34.0633,-118.284,LA Controller,Steel pieces in the shape of an open book,,Joe Pinkelman,Unknown
34.03785,-118.205,LA Controller,A series of photographic images,,Elizabeth Cheatham-Wild,Unknown
34.02849,-118.353,LA Controller,Photo-collage structure,,Todd Gray,Unknown
34.03349,-118.418,LA Controller,Reading room window installation,,BJ Krivanek and Joel Breaux,Unknown
34.03288,-118.418,LA Controller,Interior metal mobiles,,Brad Howe,Unknown
34.08349,-118.219,LA Controller,Art glass window treatment,,Sylvia Tidwell and Calvin Abe,Unknown
33.71374,-118.293,LA Controller,Mural with ceramic mosaic tiles,,Elyse Pignolet,Unknown
34.01256,-118.256,LA Controller,"Light boxes, plaques",,Richard Turner,Unknown
34.02256,-118.329,LA Controller,Four murals,,Eloy Torrez,Unknown
34.02304,-118.406,LA Controller,Exterior metal sculpture on façade,,Todd Gray,Unknown
34.04338,-118.224,LA Controller,Lobby as gallery and installation space,,Jacki Apple,Unknown
33.71129,-118.286,LA Controller,Artist book,,Robert Millar,Unknown
34.01446,-118.309,LA Controller,Glass pictures against wall mural,,Cha-Rie Tang,Unknown
34.01332,-118.309,LA Controller,Photographic installation,,Jacki Apple,Unknown
34.14255,-118.405,LA Controller,Four hard brass plate sculptures,,John O'Brien,Unknown
34.14401,-118.405,LA Controller,Decorative stained art-glass and glass clock,,Mark Levy,Unknown
34.04004,-118.329,LA Controller,Indoor acrylic sculpture and totem,,Elliott Pinkney,Unknown
34.00672,-118.267,LA Controller,Painted interior mural,,Alma Lopez and Noni Olabisi,Unknown
34.00556,-118.257,LA Controller,Exterior and interior murals,,Alma Lopez and Noni Olabisi,Unknown
33.9557,-118.267,LA Controller,Decorative wrought iron gate,,Sheila Pinkel,Unknown
34.01777,-118.345,LA Controller,Exterior lighting installation,,Infranatural,Unknown
34.05031,-118.236,LA Controller,Outdoor sculpture,,Sue Chorpenning,Unknown
34.05295,-118.234,LA Controller,LED custom lights,,Refik Anadol,Unknown
34.09101,-118.289,LA Controller,Two painted murals,,Victor Henderson,Unknown
34.00217,-118.244,LA Controller,Interior sculpture,,Nancy Braver,Unknown
34.00167,-118.274,LA Controller,Wall panel with photo images,,Jaqueline Alexander,Unknown
34.05658,-118.332,LA Controller,Stained art glass-leaded windows,,William Judson,Unknown
34.07578,-118.183,LA Controller,Hand painted ceramic mural,,Elsa Flores,Unknown
34.04649,-118.343,LA Controller,Interior mural paintings and exterior garden,,Roderick Sykes,Unknown
34.08733,-118.176,LA Controller,Interior lobby paper sculpture,,Jeff Nishinaka,Unknown
