,County,count,years,artCountperYear
111,Walnut,1,['1950'],[1]
112,Walnut Park,3,['1970'],[3]
113,Watts,11,"['1970', '1980', '1990', 'Unknown']","[1, 3, 3, 4]"
114,West Adams,5,"['1980', '1990']","[1, 4]"
115,West Athens,1,['1990'],[1]
116,West Hollywood,70,"['#VALUE!', '1970', '1980', '1990', '2000', '2010']","[1, 1, 18, 17, 19, 14]"
117,West Los Angeles,1,['1990'],[1]
118,Westchester,7,"['1980', '1990']","[3, 4]"
119,Westlake,29,"['1970', '1980', '1990']","[4, 12, 13]"
120,Westmont,1,['1970'],[1]
121,Westwood,5,"['1960', '1970', '1980']","[1, 1, 3]"
122,Whittier,1,['1930'],[1]
123,Willowbrook,3,['1990'],[3]
124,Willowville,2,['1990'],[2]
125,Winnetka,3,"['1960', '1980']","[2, 1]"
